gardenQuantity, renewableQuantity, sewageQuantity
13.044530820018872, 114.63843751335125, 106.09204605087953
12.972952389363872, 114.00938925066065, 105.50989386265013
11.916224123432324, 104.72261006679955, 96.9154518394518
11.207926619964017, 98.49792324497817, 91.15482062990601
10.114464394422004, 88.88831729244868, 82.26161884383116
12.598352435114782, 110.71731581082601, 102.46324725303337
10.310531791028703, 90.6114041787787, 83.85624816065956
12.896335391294967, 113.3360608598761, 104.88676266693612
12.876098067776848, 113.15821045041493, 104.72217115435095
10.065945405024458, 88.46192088072601, 81.86701064147198
13.152106224863108, 115.5838357416481, 106.96696405001231
11.770793718862386, 103.4445331028319, 95.73265658282565
10.359189293580076, 91.03901787702156, 84.25198289981009
13.376333410528847, 117.55439754777208, 108.79061882424162
13.055663743695218, 114.73627629289963, 106.18259086752708
10.93462577981793, 96.09609049854076, 88.93204652491288
